exerciseId,name,exerciseType,bodyParts,equipments,targetMuscles,secondaryMuscles,instructions,imageUrl,videoUrl
VPPtusI,Inverted Row Bent Knees,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up a bar at waist height and lie underneath it.|Step:2 Grab the bar with an overhand grip, slightly wider than shoulder-width apart.|Step:3 Position your body so that your heels are on the ground and your body is straight.|Step:4 Pull your chest up towards the bar by squeezing your shoulder blades together.|Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/VPPtusI.gif,
8d8qJQI,Barbell Reverse Grip Incline Bench Row,STRENGTH,BACK,BARBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up an incline bench at a 45-degree angle.|Step:2 Sit on the bench facing the backrest with your chest against it.|Step:3 Grab the barbell with a reverse grip (palms facing down) and hands slightly wider than shoulder-width apart.|Step:4 Keep your back straight and core engaged.|Step:5 Pull the barbell towards your upper abdomen, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top of the movement.|Step:7 Slowly lower the barbell back to the starting position.|Step:8 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/8d8qJQI.gif,
JGKowMS,Smith Narrow Row,STRENGTH,BACK,SMITH MACHINE,UPPER BACK,BICEPS|REAR DELTOIDS,"Step:1 Adjust the seat height and position yourself on the machine with your feet flat on the floor.|Step:2 Grasp the handles with an overhand grip, slightly narrower than shoulder-width apart.|Step:3 Keep your back straight and your chest up as you pull the handles towards your body, squeezing your shoulder blades together.|Step:4 Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/JGKowMS.gif,
dmgMp3n,Barbell Incline Row,STRENGTH,BACK,BARBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Set up an incline bench at a 45-degree angle.|Step:2 Lie face down on the bench with your chest against the pad and your feet flat on the ground.|Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.|Step:4 Keep your back straight and your core engaged.|Step:5 Pull the barbell towards your chest, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top, then slowly lower the barbell back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/dmgMp3n.gif,
ZqNOWQ6,Lever Reverse Grip Vertical Row,STRENGTH,BACK,LEVERAGE MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Adjust the seat height and footplate position to ensure proper alignment.|Step:2 Sit on the machine with your chest against the pad and your feet flat on the footplate.|Step:3 Grasp the handles with an underhand grip, palms facing up.|Step:4 Keep your back straight and engage your core.|Step:5 Pull the handles towards your chest, squeezing your shoulder blades together.|Step:6 Pause for a moment at the top of the movement, then slowly release and extend your arms back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/ZqNOWQ6.gif,
w2oRpuH,Lever Alternating Narrow Grip Seated Row,STRENGTH,BACK,LEVERAGE MACHINE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Adjust the seat height and footplate position to ensure proper alignment.|Step:2 Sit on the machine with your back straight and feet flat on the footplate.|Step:3 Grasp the handles with a narrow grip, palms facing each other.|Step:4 Keep your chest up and shoulders back throughout the exercise.|Step:5 Pull one handle towards your torso while keeping the other handle stationary.|Step:6 Squeeze your shoulder blades together at the end of the movement.|Step:7 Slowly return the handle to the starting position and repeat with the other side.|Step:8 Continue alternating sides for the desired number of repetitions.",https://static.exercisedb.dev/media/w2oRpuH.gif,
zYmNaoY,Elevator,STRENGTH,BACK,BODY WEIGHT,UPPER BACK,SHOULDERS|TRAPEZIUS,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent.|Step:2 Place your hands on your hips or cross them in front of your chest.|Step:3 Keeping your back straight, slowly bend forward at the waist, lowering your upper body towards the ground.|Step:4 Pause for a moment at the bottom, then slowly raise your upper body back up to the starting position.|Step:5 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/zYmNaoY.gif,
C0MA9bC,Dumbbell One Arm Bent-Over Row,STRENGTH,BACK,DUMBBELL,UPPER BACK,BICEPS|FOREARMS,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand with your palm facing your body.|Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight and your core engaged.|Step:3 Let the dumbbell hang straight down towards the floor, with your arm fully extended.|Step:4 Pull the dumbbell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together.|Step:5 Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position.|Step:6 Repeat for the desired number of repetitions, then switch sides.",https://static.exercisedb.dev/media/C0MA9bC.gif,
UFGF6gk,Cable Rope Crossover Seated Row,CARDIO,BACK,CABLE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Sit on the rowing machine with your feet flat on the footrests and your knees slightly bent.|Step:2 Grasp the cable ropes with an overhand grip, palms facing each other.|Step:3 Lean back slightly, keeping your back straight and your core engaged.|Step:4 Pull the cable ropes towards your chest, squeezing your shoulder blades together.|Step:5 Pause for a moment at the peak of the movement, then slowly release the tension and return to the starting position.|Step:6 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/UFGF6gk.gif,
c8oybX6,Cable Rope Elevated Seated Row,CARDIO,BACK,CABLE,UPPER BACK,BICEPS|FOREARMS,"Step:1 Sit on the elevated seat facing the cable machine.|Step:2 Grab the cable rope handles with an overhand grip, palms facing each other.|Step:3 Keep your back straight and lean slightly back, maintaining a slight bend in your knees.|Step:4 Pull the cable towards your body by retracting your shoulder blades and squeezing your back muscles.|Step:5 Pause for a moment at the fully contracted position.|Step:6 Slowly release the tension and extend your arms back to the starting position.|Step:7 Repeat for the desired number of repetitions.",https://static.exercisedb.dev/media/c8oybX6.gif,
