sample_id,type,user_message,model_output
1,regular,"Generate a 4-day weightloss workout plan
[Context] Level: Intermediate | Goal: WeightLoss | Days: 4 | Feedback: easier difficulty, rating 3.7, 33 sessions done | Equipment: dumbbell,machine,kettlebells,other,body only","PLAN:4d Upper/Lower|WeightLoss|Intermediate|8w
FB:easier pref,rating 3.7,33 sessions
---
D1:Upper A[chest,lats,triceps,biceps]59min
1.Isometric Chest Squeezes|3x15-25|30s|I|RPE9|body only
2.Bench Press – Smith Machine|3x12-20|45s|C|RPE7|machine
3.Alternating Renegade Row|3x12-20|45s|C|RPE8|kettlebells
4.Smith Machine One-Arm Upright Row|3x12-20|45s|C|RPE8|machine
5.Dumbbell One-Arm Triceps Extension|3x15-25|30s|I|RPE9|dumbbell
6.Standing Dumbbell Reverse Curl|3x15-25|30s|I|RPE9|dumbbell
---
D2:Lower A[quadriceps,hamstrings,calves,abdominals]43min
1.Narrow Stance Hack Squats|3x12-20|45s|C|RPE9|machine
2.Lateral Box Jump|3x12-20|45s|C|RPE7|other
3.One-Legged Glute Bridge|3x12-20|45s|C|RPE9|body only
4.One-Legged Hip Thrust|3x12-20|45s|C|RPE9|body only
5.Standing Dumbbell Calf Raise|3x15-25|30s|I|RPE8|dumbbell
6.Flat Bench Lying Leg Raise|3x15-25|30s|I|RPE10|body only
---
D3:Upper B[shoulders,middle back,biceps]69min
1.Kettlebell Pirate Ships|3x12-20|45s|C|RPE7|kettlebells
2.Z Press – Dumbbell|3x12-20|45s|C|RPE8|dumbbell
3.Towel Pull-Up|3x12-20|45s|C|RPE7|body only
4.London Bridges|3x12-20|45s|C|RPE10|other
5.Calf-Machine Shoulder Shrug|3x15-25|30s|I|RPE10|machine
6.Machine Preacher Curls|3x15-25|30s|I|RPE7|machine
---
D4:Lower B[hamstrings,glutes,quadriceps,calves]44min
1.Single-Leg Romanian Deadlift – Dumbbell|3x12-20|45s|C|RPE7|dumbbell
2.Rickshaw Deadlift|3x12-20|45s|C|RPE8|other
3.Lunge Sprint|3x12-20|45s|C|RPE7|machine
4.Kettlebell Turkish Get-Up (Lunge style)|3x12-20|45s|C|RPE8|kettlebells
5.Star Jump|3x12-20|45s|C|RPE9|body only
6.Linear Depth Jump|3x12-20|45s|C|RPE9|other
---
PROG:Add 1 rep per set each week
DELOAD:Week 8: reduce volume 40%, keep intensity"
2,injury,"Modify workout - neck is injured
[Context] Level: Advanced | Goal: General | Days: 4 | Injury: neck(severe,9/10) | Body fat: 15.1%(normal) | Equipment: dumbbell,bands,e-z curl bar,exercise ball,cable,medicine ball","PLAN:4d Upper/Lower|General|Advanced|6w
INJ:neck(severe,9/10):skip all exercises with neck load
FB:normal pref,rating 3.8,35 sessions
---
D1:Upper A[chest,lats,triceps,biceps]68min
1.One-Handed Chest Press – Dumbbell|3x8-15|60s|C|RPE8|dumbbell
2.Push-Ups With Feet On An Exercise Ball|3x8-15|60s|C|RPE8|exercise ball
3.Monkey Row|3x8-15|60s|C|RPE7|body only
4.Rotational Throw – Medicine Ball|3x8-15|60s|C|RPE8|medicine ball
5.Skull Crusher – Dumbbell|3x8-15|60s|C|RPE10|dumbbell
6.One Arm Dumbbell Preacher Curl|3x10-15|60s|I|RPE9|dumbbell
---
D2:Lower A[quadriceps,hamstrings,calves,abdominals]48min
1.Scissors Jump|3x8-15|60s|C|RPE8|body only
2.Half Air Squat|3x8-15|60s|C|RPE7|body only
3.Vertical Swing|3x8-15|60s|C|RPE7|dumbbell
4.Deadlift – Dumbbell|3x8-15|60s|C|RPE9|dumbbell
5.Standing Dumbbell Calf Raise|3x10-15|60s|I|RPE10|dumbbell
6.Flutter Kick|3x8-15|60s|C|RPE10|body only
---
D3:Upper B[shoulders,middle back,biceps]66min
1.Wide-Grip Pulldown Behind The Neck|3x8-15|60s|C|RPE8|cable
2.Overhead Slam|3x8-15|60s|C|RPE8|medicine ball
3.Front Incline Dumbbell Raise|3x10-15|60s|I|RPE7|dumbbell
4.Incline Dumbbell Curl|3x10-15|60s|I|RPE9|dumbbell
5.Monkey Row|3x8-15|60s|C|RPE10|body only
6.Bent Over Two-Dumbbell Row|3x8-15|60s|C|RPE7|dumbbell
---
D4:Lower B[hamstrings,glutes,quadriceps,calves]49min
1.Hip Thrust – Band|3x8-15|60s|C|RPE9|bands
2.Hang Power Clean|3x8-15|60s|C|RPE10|body only
3.Lunge – Dumbbell|3x8-15|60s|C|RPE9|dumbbell
4.Dumbbell Lunges|3x8-15|60s|C|RPE9|dumbbell
5.Front Rack Knee Over Toe Split Squat – Dumbbell|3x8-15|60s|C|RPE7|dumbbell
6.Bulgarian Split Squat|3x8-15|60s|C|RPE10|body only
---
PROG:Increase reps before adding weight
DELOAD:Week 6: reduce volume 40%, keep intensity"
3,regular,"Design a 3-day strength training split
[Context] Level: Beginner | Goal: Strength | Days: 3 | Equipment: barbell,machine,bands,cable,other,dumbbell,medicine ball,exercise ball","PLAN:3d Push/Pull/Legs|Strength|Beginner|4w
---
D1:Push[chest,shoulders,triceps]68min
1.Close-Grip Dumbbell Press|4x3-6|180s|C|RPE6|dumbbell
2.Smith Machine Incline Bench Press|4x3-6|180s|C|RPE8|machine
3.Bradford/Rocky Presses|4x3-6|180s|C|RPE6|barbell
4.Seated Shoulder Press – Smith Machine|4x3-6|180s|C|RPE7|machine
5.Skull Crusher – Dumbbell|4x3-6|180s|C|RPE7|dumbbell
6.Lateral Raise - With Bands|3x6-10|120s|I|RPE7|bands
---
D2:Pull[lats,middle back,biceps]45min
1.Smith Machine One-Arm Upright Row|4x3-6|180s|C|RPE6|machine
2.Dumbbell One-Arm Upright Row|4x3-6|180s|C|RPE8|dumbbell
3.V-Bar Pulldown|4x3-6|180s|C|RPE8|cable
4.Close-Grip Front Lat Pulldown|4x3-6|180s|C|RPE7|cable
5.Bottoms-Up Clean From The Hang Position|4x3-6|180s|C|RPE7|kettlebells
6.Single Arm Half Kneeling High Row – Cable|4x3-6|180s|C|RPE6|cable
---
D3:Legs[quadriceps,hamstrings,glutes,calves]57min
1.Scissors Jump|4x3-6|180s|C|RPE6|body only
2.Snatch Balance|4x3-6|180s|C|RPE7|barbell
3.Hang Power Clean and Jerk|4x3-6|180s|C|RPE7|barbell
4.Hip Hinge – Band|4x3-6|180s|C|RPE8|bands
5.Lunge – Bodyweight|4x3-6|180s|C|RPE8|body only
6.Bodyweight Walking Lunge|4x3-6|180s|C|RPE6|body only
---
PROG:Add 1 rep per set each week
DELOAD:Week 4: reduce volume 40%, keep intensity"
4,regular,"Build a 6 day endurance routine
[Context] Level: Advanced | Goal: Endurance | Days: 6 | Body fat: 15.6% (normal) | Muscle mass: 22.3kg (low) | Injuries: hip(moderate,5/10),elbow(severe,7/10) | Equipment: barbell,e-z curl bar,exercise ball,machine,kettlebells,dumbbell,body only,other","PLAN:6d PPL x2|Endurance|Advanced|4w
INJ:hip(moderate,5/10):use machines, avoid deep squats;elbow(severe,7/10):avoid all elbow-stressing movements
---
D1:Push A[chest,shoulders,triceps]62min
1.Crucifix|2x20-30|20s|I|RPE9|other
2.Bradford/Rocky Presses|3x15-25|30s|C|RPE8|barbell
3.Side Lateral Raise|2x20-30|20s|I|RPE7|dumbbell
4.Incline Hex Press – Dumbbell|3x15-25|30s|C|RPE7|dumbbell
5.Alternating Z Press – Double Kettlebell|3x15-25|30s|C|RPE10|kettlebells
6.Pullover – Dumbbell|2x20-30|20s|I|RPE10|dumbbell|*MODIFIED
---
D2:Pull A[lats,middle back,biceps]68min
1.Bent-Arm Barbell Pullover|2x20-30|20s|I|RPE10|barbell
2.Isometric Pull-Up Hold|2x20-30|20s|I|RPE7|body only|*MODIFIED
3.Towel Pull-Up|3x15-25|30s|C|RPE7|body only|*MODIFIED
4.Middle Back Shrug|2x20-30|20s|I|RPE8|dumbbell
5.One-Handed Hammer Isometric Hold – Dumbbell|2x20-30|20s|I|RPE7|dumbbell|*MODIFIED
---
D3:Legs A[quadriceps,hamstrings,glutes,calves]60min
1.Smith Machine Reverse Calf Raises|2x20-30|20s|I|RPE10|machine
2.Dumbbell Side Bend|2x20-30|20s|I|RPE7|dumbbell
3.Snatch|3x15-25|30s|C|RPE10|barbell|*LIGHT
4.Box Skip|3x15-25|30s|C|RPE10|other|*LIGHT
5.Flutter Kicks|3x15-25|30s|C|RPE7|body only|*LIGHT
6.Calf Raise On A Dumbbell|2x20-30|20s|I|RPE7|dumbbell
---
D4:Push B[chest,shoulders,triceps]53min
1.Crucifix|2x20-30|20s|I|RPE9|other
2.Shoulder Press – Barbell|3x15-25|30s|C|RPE9|barbell
3.Reverse Flyes With External Rotation|2x20-30|20s|I|RPE9|dumbbell
4.Front Raise And Pullover|2x20-30|20s|I|RPE9|barbell
5.Horizontal Internal Shoulder Rotation – Dumbbell|3x15-25|30s|C|RPE7|dumbbell
6.One-Handed Shoulder Press – Landmine|3x15-25|30s|C|RPE10|barbell|*MODIFIED
---
D5:Pull B[middle back,lats,biceps]58min
1.Bent-Arm Barbell Pullover|2x20-30|20s|I|RPE8|barbell
2.Isometric Pull-Up Hold|2x20-30|20s|I|RPE8|body only|*MODIFIED
3.Middle Back Shrug|2x20-30|20s|I|RPE7|dumbbell
4.Weighted Pull Ups|3x15-25|30s|C|RPE8|other
5.Rope Wave|3x15-25|30s|C|RPE7|body only|*MODIFIED
---
D6:Legs B[hamstrings,glutes,calves]48min
1.Floor Glute-Ham Raise|2x20-30|20s|I|RPE8|body only|*LIGHT
2.Smith Machine Reverse Calf Raises|2x20-30|20s|I|RPE7|machine
3.Knee Tuck Jump|3x15-25|30s|C|RPE9|body only|*LIGHT
4.Sled Pull|3x15-25|30s|C|RPE7|body only|*LIGHT
5.Calf Raise On A Dumbbell|2x20-30|20s|I|RPE7|dumbbell
---
PROG:Add 2.5-5% weight when hitting top reps
DELOAD:Every 2 weeks: half volume"
5,injury,"Need workout plan with lower_back strain
[Context] Level: Beginner | Goal: General | Days: 4 | Injury: lower_back(severe,9/10) | Body fat: 33.9%(obese) | Equipment: machine,kettlebells,e-z curl bar,exercise ball,body only","PLAN:4d Upper/Lower|General|Beginner|6w
INJ:lower_back(severe,9/10):skip deadlifts, squats and bent rows entirely
FB:easier pref,rating 4.1,60 sessions
---
D1:Upper A[chest,lats,triceps,biceps]70min
1.Incline Push-Up Reverse Grip|3x8-15|60s|C|RPE8|body only
2.Pushups|3x8-15|60s|C|RPE6|body only
3.Smith Machine Bent Over Row|3x8-15|60s|C|RPE6|machine
4.Underhand Grip Inverted Row|3x8-15|60s|C|RPE6|body only
5.Overhead Tricep Extension – Machine|3x10-15|60s|I|RPE6|machine
6.Close-Grip EZ-Bar Curl with Band|3x10-15|60s|I|RPE6|e-z curl bar
---
D2:Lower A[quadriceps,hamstrings,calves,abdominals]57min
1.Smith Machine Calf Raise|3x10-15|60s|I|RPE6|machine
2.V-Up|3x8-15|60s|C|RPE7|body only
3.Leg Extension|3x10-15|60s|I|RPE7|body only
4.Sled Pull|3x8-15|60s|C|RPE6|body only|*MODIFIED
5.Seated Calf Raise|3x10-15|60s|I|RPE7|machine
6.Cocoons|3x8-15|60s|C|RPE6|body only
---
D3:Upper B[shoulders,middle back,biceps]53min
1.Shoulder Press – Machine|3x8-15|60s|C|RPE6|machine
2.Single-Arm Bottoms-Up Overhead Press – Kettlebell|3x8-15|60s|C|RPE6|kettlebells
3.V-Bar Pullup|3x8-15|60s|C|RPE8|body only
4.Pull-Up|3x8-15|60s|C|RPE7|body only
5.Plate Front Raise|3x10-15|60s|I|RPE6|body only
6.Horn Grip Bicep Curl – Kettlebell|3x10-15|60s|I|RPE7|kettlebells
---
D4:Lower B[hamstrings,glutes,quadriceps,calves]64min
1.Standing Calf Raises|3x10-15|60s|I|RPE8|machine
2.Runner's 5|3x8-15|60s|C|RPE6|body only|*MODIFIED
3.Sled Pull|3x8-15|60s|C|RPE7|body only|*MODIFIED
4.Burpee – BOSU|3x8-15|60s|C|RPE8|body only|*MODIFIED
5.Calf Raise – Machine|3x10-15|60s|I|RPE6|machine
---
PROG:Linear periodization: reduce reps weekly
DELOAD:Week 6: active recovery only"
6,regular,"Plan a 5 day strength workout routine
[Context] Level: Beginner | Goal: Strength | Days: 5 | Injuries: neck(severe,7/10),ankle(mild,3/10) | Equipment: exercise ball,e-z curl bar,barbell,other,kettlebells,body only","PLAN:5d Bro Split|Strength|Beginner|12w
INJ:neck(severe,7/10):skip all exercises with neck load;ankle(mild,3/10):use heel elevation for squats
---
D1:Chest[chest,triceps]52min
1.Pushups|4x3-6|180s|C|RPE7|body only
2.Push Up to Side Plank|4x3-6|180s|C|RPE7|body only
3.Skull Crusher – Barbell|4x3-6|180s|C|RPE6|barbell
4.Incline Bench Press – Barbell|4x3-6|180s|C|RPE7|barbell
5.Close-Grip EZ-Bar Press|4x3-6|180s|C|RPE6|e-z curl bar
---
D2:Back[lats,middle back,biceps]60min
1.T-Bar Row with Handle|4x3-6|180s|C|RPE8|barbell
2.Row – T-Bar|4x3-6|180s|C|RPE7|barbell|*MODIFIED
3.London Bridges|4x3-6|180s|C|RPE7|other
4.Pullups|4x3-6|180s|C|RPE7|body only
5.Bottoms-Up Clean From The Hang Position|4x3-6|180s|C|RPE6|kettlebells
6.Curl – Bodyweight|3x6-10|120s|I|RPE8|body only
---
D3:Shoulders[shoulders,abdominals]63min
1.Snatch Shrug|3x6-10|120s|I|RPE7|barbell|*MODIFIED
2.Russian Twist|4x3-6|180s|C|RPE6|body only
3.Single-Arm Thruster – Landmine|4x3-6|180s|C|RPE6|barbell
4.Crunch - Legs On Exercise Ball|3x6-10|120s|I|RPE7|exercise ball
---
D4:Legs[quadriceps,hamstrings,glutes,calves]68min
1.Sled Push|4x3-6|180s|C|RPE6|other
2.Barbell Hack Squat|4x3-6|180s|C|RPE6|barbell
3.Kettlebell Hang Clean|4x3-6|180s|C|RPE6|kettlebells
4.Good Morning off Pins|4x3-6|180s|C|RPE6|barbell
5.Bodyweight Walking Lunge|4x3-6|180s|C|RPE6|body only
6.Feet-Elevated Bulgarian Row – Ring|4x3-6|180s|C|RPE6|body only
---
D5:Arms[biceps,triceps,forearms]60min
1.Bottoms-Up Clean From The Hang Position|4x3-6|180s|C|RPE7|kettlebells
2.Skull Crusher – Barbell|4x3-6|180s|C|RPE8|barbell
3.Clean Shrug|3x6-10|120s|I|RPE7|barbell|*MODIFIED
4.Curl – Bodyweight|3x6-10|120s|I|RPE8|body only
5.Lying Triceps Press|4x3-6|180s|C|RPE8|e-z curl bar
6.Wrist Curl – Barbell|3x6-10|120s|I|RPE8|barbell
---
PROG:Increase reps before adding weight
DELOAD:Week 12: active recovery only"
7,regular,"Build a 3 day muscle routine
[Context] Level: Intermediate | Goal: Muscle | Days: 3 | Body fat: 43.5% (obese) | Muscle mass: 33.3kg (average) | Injuries: hip(severe,8/10) | Equipment: e-z curl bar,bands,machine,cable,other,body only,medicine ball,dumbbell","PLAN:3d Push/Pull/Legs|Muscle|Intermediate|10w
INJ:hip(severe,8/10):skip all hip-dominant exercises
---
D1:Push[chest,shoulders,triceps]70min
1.Decline Dumbbell Flyes|3x10-15|60s|I|RPE7|dumbbell
2.One-Handed Standing Chest Fly – Band|3x10-15|60s|I|RPE8|bands
3.Dumbbell Shoulder Press|3x8-12|90s|C|RPE7|dumbbell
4.Shoulder Press - With Bands|3x8-12|90s|C|RPE9|bands
5.Cable One Arm Tricep Extension|3x10-15|60s|I|RPE8|cable
6.Calf-Machine Shoulder Shrug|3x10-15|60s|I|RPE9|machine
---
D2:Pull[lats,middle back,biceps]55min
1.Rear Delt Row – Dumbbell|3x10-15|60s|I|RPE7|dumbbell
2.Incline Bench Pull|3x10-15|60s|I|RPE9|barbell
3.Bent-Arm Barbell Pullover|3x10-15|60s|I|RPE8|barbell
4.Rope Straight-Arm Pulldown|3x10-15|60s|I|RPE9|cable
5.Zottman Preacher Curl|3x10-15|60s|I|RPE8|dumbbell
6.Hanging Side-To-Side Knee Drive|3x8-12|90s|C|RPE7|body only
---
D3:Legs[quadriceps,hamstrings,glutes,calves]63min
1.Calf Raise – Machine|3x10-15|60s|I|RPE10|machine
2.Sit-Up|3x10-15|60s|I|RPE10|body only
3.Split Clean|3x8-12|90s|C|RPE8|barbell|*MODIFIED
4.Moving Claw Series|3x8-12|90s|C|RPE7|body only|*MODIFIED
5.One-Legged Cable Kickback|3x10-15|60s|I|RPE10|cable|*MODIFIED
6.Barbell Seated Calf Raise|3x10-15|60s|I|RPE7|barbell
---
PROG:Add 1 rep per set each week
DELOAD:Week 10: active recovery only"
8,regular,"Plan a 4 day weightloss workout routine
[Context] Level: Beginner | Goal: WeightLoss | Days: 4 | Feedback: normal difficulty, rating 3.0, 10 sessions done | Equipment: machine,barbell,kettlebells,e-z curl bar,cable,bands,body only","PLAN:4d Upper/Lower|WeightLoss|Beginner|12w
FB:normal pref,rating 3.0,10 sessions
---
D1:Upper A[chest,lats,triceps,biceps]58min
1.Close-Grip Push-Up|3x12-20|45s|C|RPE8|body only
2.Single-Arm Push-Up|3x12-20|45s|C|RPE6|body only
3.T-Bar Row with Handle|3x12-20|45s|C|RPE8|barbell
4.Seated Row – Machine|3x12-20|45s|C|RPE8|machine
5.Tricep Pushdown – Cable With Bar|3x15-25|30s|I|RPE8|cable
6.Cable Curl – Rope|3x15-25|30s|I|RPE6|cable
---
D2:Lower A[quadriceps,hamstrings,calves,abdominals]45min
1.Hack Squat – Landmine|3x12-20|45s|C|RPE7|barbell
2.Front Rack Low Switch Cossack Squat – Kettlebell|3x12-20|45s|C|RPE7|kettlebells
3.Pause Deadlift – Barbell|3x12-20|45s|C|RPE7|barbell
4.Hip Lift with Band|3x12-20|45s|C|RPE8|bands
5.Calf Press On The Leg Press Machine|3x15-25|30s|I|RPE8|machine
6.One-Arm High-Pulley Cable Side Bends|3x15-25|30s|I|RPE7|cable
---
D3:Upper B[shoulders,middle back,biceps]40min
1.One-Handed Shoulder Press – Landmine|3x12-20|45s|C|RPE7|barbell
2.Alternating Single-Arm Dead Clean to Push Press – Kettlebell|3x12-20|45s|C|RPE6|kettlebells
3.Towel Pull-Up|3x12-20|45s|C|RPE7|body only
4.Straight-Arm Pulldown|3x15-25|30s|I|RPE7|cable
5.Cable Rear Delt Fly|3x15-25|30s|I|RPE8|cable
6.Close-Grip EZ-Bar Curl with Band|3x15-25|30s|I|RPE7|e-z curl bar
---
D4:Lower B[hamstrings,glutes,quadriceps,calves]49min
1.Deadlift – Fat Bar|3x12-20|45s|C|RPE8|body only
2.Hip Hinge – Band|3x12-20|45s|C|RPE6|bands
3.Lunge Pass Through|3x12-20|45s|C|RPE7|kettlebells
4.Lunge Sprint|3x12-20|45s|C|RPE8|machine
5.Scissors Jump|3x12-20|45s|C|RPE8|body only
6.Speed Box Squat|3x12-20|45s|C|RPE7|barbell
---
PROG:Increase reps before adding weight
DELOAD:Week 12: active recovery only"
9,regular,"Generate a 5-day strength workout plan
[Context] Level: Intermediate | Goal: Strength | Days: 5 | Body fat: 33.2% (obese) | Muscle mass: 49.6kg (high) | Injuries: hip(moderate,6/10) | Equipment: other,exercise ball,body only,kettlebells,medicine ball,barbell","PLAN:5d ULPPL|Strength|Intermediate|8w
INJ:hip(moderate,6/10):use machines, avoid deep squats
---
D1:Upper[chest,lats,triceps,biceps]58min
1.Plyo Kettlebell Pushups|4x3-6|180s|C|RPE9|kettlebells
2.Hand-Release Push-Up|4x3-6|180s|C|RPE8|body only
3.Alternating Renegade Row|4x3-6|180s|C|RPE9|kettlebells
4.Meadows Row|4x3-6|180s|C|RPE9|body only
5.Skull Crusher – Barbell|4x3-6|180s|C|RPE10|barbell
6.Bottoms-Up Clean From The Hang Position|4x3-6|180s|C|RPE9|kettlebells
---
D2:Lower[quadriceps,hamstrings,glutes,calves]61min
1.Standing Barbell Calf Raise|3x6-10|120s|I|RPE10|barbell
2.Leg Extension|3x6-10|120s|I|RPE10|body only|*LIGHT
3.Hurdle Hops|4x3-6|180s|C|RPE8|other|*LIGHT
4.Alternating Single-Arm Dead Clean to Push Press – Kettlebell|4x3-6|180s|C|RPE10|kettlebells|*LIGHT
5.Sled Pull|4x3-6|180s|C|RPE8|body only|*LIGHT
---
D3:Push[chest,shoulders,triceps]58min
1.Plyo Push-up|4x3-6|180s|C|RPE8|body only
2.Weighted Bench Dip|4x3-6|180s|C|RPE7|other
3.Standing Barbell Press Behind Neck|4x3-6|180s|C|RPE9|barbell
4.One-Arm Kettlebell Para Press|4x3-6|180s|C|RPE9|kettlebells
5.Skull Crusher – Barbell|4x3-6|180s|C|RPE10|barbell
6.Straight Raises on Incline Bench|3x6-10|120s|I|RPE10|barbell
---
D4:Pull[lats,middle back,biceps]58min
1.Mixed Grip Chin|4x3-6|180s|C|RPE10|other
2.Supine Chest Throw|4x3-6|180s|C|RPE8|medicine ball
3.V-Bar Pullup|4x3-6|180s|C|RPE10|body only
4.Rope Climb|4x3-6|180s|C|RPE10|other
5.Bottoms-Up Clean From The Hang Position|4x3-6|180s|C|RPE10|kettlebells
6.Muscle Up|4x3-6|180s|C|RPE7|other
---
D5:Legs[quadriceps,hamstrings,glutes,calves]55min
1.Calf Raise – Barbell|3x6-10|120s|I|RPE9|barbell
2.Leg Pull-In|4x3-6|180s|C|RPE7|body only
3.Conan's Wheel|4x3-6|180s|C|RPE7|other|*LIGHT
4.Linear 3-Part Start Technique|4x3-6|180s|C|RPE9|body only|*LIGHT
5.Frog Pumps|4x3-6|180s|C|RPE8|body only|*LIGHT
6.Balance Board|4x3-6|180s|C|RPE9|other
---
PROG:Linear periodization: reduce reps weekly
DELOAD:Week 8: reduce volume 40%, keep intensity"
10,regular,"Generate a 5-day muscle workout plan
[Context] Level: Advanced | Goal: Muscle | Days: 5 | Injuries: hip(mild,1/10) | Equipment: kettlebells,exercise ball,other,medicine ball,cable,dumbbell,machine,body only","PLAN:5d Bro Split|Muscle|Advanced|4w
INJ:hip(mild,1/10):limit hip flexion range
---
D1:Chest[chest,triceps]57min
1.Isometric Chest Squeezes|3x10-15|60s|I|RPE9|body only
2.Decline Dumbbell Flyes|3x10-15|60s|I|RPE10|dumbbell
3.Chain Handle Extension|3x10-15|60s|I|RPE8|other
4.Incline Push-Up Medium|3x8-12|90s|C|RPE9|body only
5.Decline EZ Bar Triceps Extension|3x10-15|60s|I|RPE8|barbell
---
D2:Back[lats,middle back,biceps]53min
1.Rear Delt Row – Barbell|3x10-15|60s|I|RPE9|barbell
2.Incline Bench Pull|3x10-15|60s|I|RPE10|barbell
3.Isometric Pull-Up Hold|3x10-15|60s|I|RPE10|body only
4.Straight-Arm Pulldown|3x10-15|60s|I|RPE8|cable
5.Palms-Down Dumbbell Wrist Curl Over A Bench|3x10-15|60s|I|RPE8|dumbbell
6.Pendlay Row|3x8-12|90s|C|RPE7|barbell
---
D3:Shoulders[shoulders,abdominals]50min
1.See-Saw Press (Alternating Side Press)|3x8-12|90s|C|RPE8|dumbbell
2.Alternating Cable Shoulder Press|3x8-12|90s|C|RPE10|cable
3.Dumbbell Shrug|3x10-15|60s|I|RPE9|dumbbell
4.Alternate Heel Touchers|3x10-15|60s|I|RPE8|body only
5.Jerk Balance|3x8-12|90s|C|RPE10|barbell
6.Forearm Plank Knee to Elbow|3x10-15|60s|I|RPE10|body only
---
D4:Legs[quadriceps,hamstrings,glutes,calves]58min
1.Depth Jump Leap|3x8-12|90s|C|RPE7|other|*MONITOR
2.Suspended Split Squat|3x8-12|90s|C|RPE8|other|*MONITOR
3.Glute Kickback|3x10-15|60s|I|RPE7|body only|*MONITOR
4.One-Leg Prone Hip Extension|3x10-15|60s|I|RPE9|body only|*MONITOR
5.Step-up with Knee Raise|3x10-15|60s|I|RPE10|body only|*MONITOR
6.One-Arm Row Lunge – Band|3x8-12|90s|C|RPE9|bands|*MONITOR
---
D5:Arms[biceps,triceps,forearms]58min
1.One-Handed Wrist Curl – Dumbbell|3x10-15|60s|I|RPE10|dumbbell
2.Lying Dumbbell Tricep Extension|3x10-15|60s|I|RPE9|dumbbell
3.Standing Low-Pulley Deltoid Raise|3x10-15|60s|I|RPE10|cable
4.Wide-Grip Standing Barbell Curl|3x10-15|60s|I|RPE10|barbell
5.Dips - Triceps Version|3x8-12|90s|C|RPE7|body only
6.Forearm Roll-Up – Barbell|3x10-15|60s|I|RPE7|barbell
---
PROG:Add 1 rep per set each week
DELOAD:Every 2 weeks: half volume"
