exercise_id,name,name_key,equipment,mechanic,movement_pattern,category,skill_level,difficulty_level,primaryMuscles,secondaryMuscles,contraindications,fatigue_score,stimulus_score,sfr_ratio,axial_load,recovery_time_hours,order_priority,goal_Strength,goal_Muscle,goal_WeightLoss,goal_Endurance,goal_General,Strength_min_reps,Strength_max_reps,Strength_rest_seconds,Strength_sets,Muscle_min_reps,Muscle_max_reps,Muscle_rest_seconds,Muscle_sets,WeightLoss_min_reps,WeightLoss_max_reps,WeightLoss_rest_seconds,WeightLoss_sets,Endurance_min_reps,Endurance_max_reps,Endurance_rest_seconds,Endurance_sets,General_min_reps,General_max_reps,General_rest_seconds,General_sets
0ce3f901de7e711d,3/4 Sit-Up,3 4 sit up,body only,compound,core_flexion,strength,beginner,2,abdominals,,diastasis_recti|disc_herniation|lower_back_injury,3,5,1.67,1,24,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
d4ad092c31a95dd1,45° side bend,45 side bend,body only,compound,other,strength,intermediate,3,abdominals,abdominals,,4,5,1.25,2,36,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
cd8332c53189b557,Ab Crunch Machine,ab crunch,machine,isolation,core_flexion,strength,beginner,3,abdominals,,diastasis_recti|disc_herniation|lower_back_injury,1,6,6,0,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
daabbdf9dd16480e,Ab Roller,ab roller,other,compound,core_flexion,strength,intermediate,3,abdominals,shoulders,diastasis_recti|disc_herniation|lower_back_injury,3,5,1.67,1,24,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
b17c820109de0c75,Advanced Kettlebell Windmill,advanced windmill,kettlebell,isolation,other,strength,advanced,3,abdominals,glutes|hamstrings|shoulders,,3,5,1.67,2,36,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
5d10d74ef17d3c2d,Air Bike,air bike,body only,compound,core_flexion,strength,beginner,2,abdominals,,diastasis_recti|disc_herniation|lower_back_injury,3,5,1.67,1,24,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
40a1858bf9fb00ab,Alternate Hammer Curl,alternate hammer curl,dumbbell,isolation,elbow_flexion,strength,beginner,2,biceps,forearms,bicep_tendinitis|elbow_tendinitis|golfers_elbow,2,6,3,0,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
e0827370a2ac9837,Alternate Heel Touchers,alternate heel touchers,body only,isolation,core_flexion,strength,beginner,2,abdominals,,diastasis_recti|disc_herniation|lower_back_injury,1,5,5,1,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
b5e4c17a2f10acae,Alternate Incline Dumbbell Curl,alternate incline curl,dumbbell,isolation,elbow_flexion,strength,beginner,2,biceps,forearms,bicep_tendinitis|elbow_tendinitis|golfers_elbow,2,6,3,0,24,5,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3
08a762abc66ec2af,Alternate Leg Diagonal Bound,alternate leg diagonal bound,body only,compound,squat,plyometrics,beginner,2,quadriceps,abductors|adductors|calves|glutes|hamstrings,hip_impingement|knee_injury|lower_back_injury,8,9,1.12,8,60,2,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3
