name,primaryMuscles,secondaryMuscles,equipment,mechanic,force,movement_pattern,difficulty_level,category,skill_level,fatigue_score,stimulus_score,sfr_ratio,axial_load,recovery_time_hours,order_priority,gifUrl,goal_Strength,goal_Muscle,goal_WeightLoss,goal_Endurance,goal_General,Strength_min_reps,Strength_max_reps,Strength_rest_seconds,Strength_sets,Muscle_min_reps,Muscle_max_reps,Muscle_rest_seconds,Muscle_sets,WeightLoss_min_reps,WeightLoss_max_reps,WeightLoss_rest_seconds,WeightLoss_sets,Endurance_min_reps,Endurance_max_reps,Endurance_rest_seconds,Endurance_sets,General_min_reps,General_max_reps,General_rest_seconds,General_sets,contraindications,instructions
3/4 Sit-Up,abdominals,,body only,compound,pull,core_flexion,2,strength,beginner,3,5,1.67,1,24,2,https://static.exercisedb.dev/media/2gPfomN.gif,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Lie down on the floor and secure your feet. Your legs should be bent at the knees. | Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position. | Flex your hips and spine to raise your torso toward your knees. | At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion, going only Â¾ of the way down. | Repeat for the recommended amount of repetitions."
45° side bend,abdominals,abdominals,body only,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,https://static.exercisedb.dev/media/Hy9D21L.gif,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Stand with your feet shoulder-width apart and your arms extended straight down by your sides. | Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee. | Pause for a moment at the bottom, then slowly return to the starting position. | Repeat on the other side. | Continue alternating sides for the desired number of repetitions."
Ab Crunch Machine,abdominals,,machine,isolation,pull,core_flexion,3,strength,beginner,1,6,6.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position. | At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet. | After a second pause, slowly return to the starting position as you breathe in. | Repeat the movement for the prescribed amount of repetitions."
Ab Roller,abdominals,shoulders,other,compound,pull,core_flexion,3,strength,intermediate,3,5,1.67,1,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Hold the Ab Roller with both hands and kneel on the floor. | Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position. | Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement. | After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times."
Advanced Kettlebell Windmill,abdominals,glutes|hamstrings|shoulders,kettlebell,isolation,push,other,3,strength,advanced,3,5,1.67,2,36,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,,"Clean and press a kettlebell overhead with one arm. | Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell. | Lower yourself as far as possible. | Pause for a second and reverse the motion back to the starting position."
Air Bike,abdominals,,body only,compound,pull,core_flexion,2,strength,beginner,3,5,1.67,1,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position. | Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position. | Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out. | Go back to the initial position as you breathe in. | Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale. | Continue alternating in this manner until all of the recommended repetitions for each side have been completed."
Alternate Hammer Curl,biceps,forearms,dumbbell,isolation,pull,elbow_flexion,2,strength,beginner,2,6,3.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,"Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso. | The palms of the hands should be facing your torso. This will be your starting position. | While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. | Slowly begin to bring the dumbbells back to starting position as your breathe in. | Repeat the movement with the left hand. This equals one repetition. | Continue alternating in this manner for the recommended amount of repetitions."
Alternate Heel Touchers,abdominals,,body only,isolation,pull,core_flexion,2,strength,beginner,1,5,5.0,1,24,5,https://static.exercisedb.dev/media/qaZVsGk.gif,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position. | Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement. | Now go back slowly to the starting position as you inhale. | Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition. | Continue alternating sides in this manner until all prescribed repetitions are done."
Alternate Incline Dumbbell Curl,biceps,forearms,dumbbell,isolation,pull,elbow_flexion,2,strength,beginner,2,6,3.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,bicep_tendinitis|elbow_tendinitis|golfers_elbow,"Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position. | While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move. | Slowly begin to bring the dumbbell back to starting position as your breathe in. | Repeat the movement with the left hand. This equals one repetition. | Continue alternating in this manner for the recommended amount of repetitions."
Alternate Leg Diagonal Bound,quadriceps,abductors|adductors|calves|glutes|hamstrings,body only,compound,push,squat,2,plyometrics,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Assume a comfortable stance with one foot slightly in front of the other. | Begin by pushing off with the front leg, driving the opposite knee forward and as high as possible before landing. Attempt to cover as much distance to each side with each bound. | It may help to use a line on the ground to guage distance from side to side. | Repeat the sequence with the other leg."
Alternating Arnold Press – Dumbbell,shoulders,biceps|shoulders|triceps,dumbbell,compound,,vertical_push,3,strength,intermediate,7,8,1.14,6,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Begin standing with your feet shoulder-width apart, holding a dumbbell in each hand in front of each shoulder, palms facing your body. This is your starting position. | Rotate your wrists as you press one dumbbell overhead, turning the palm away from your body during the movement. | Simultaneously maintain the starting position with the other arm, keeping the dumbbell at shoulder height and palm facing your body. | Fully extend the pressing arm until it is straight overhead. | Lower the dumbbell back to the starting position, rotating the wrist back to the starting position. | Immediately rotate the alternate hand’s wrist, pressing the other dumbbell overhead with the same motion. | Continue alternating the press between each arm for the desired number of repetitions."
Alternating Cable Shoulder Press,shoulders,triceps,cable,compound,push,vertical_push,2,strength,beginner,5,7,1.4,5,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Move the cables to the bottom of the tower and select an appropriate weight. | Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position. | Keeping your head and chest up, extend through the elbow to press one side directly over head. | After pausing at the top, return to the starting position and repeat on the opposite side."
Alternating Deltoid Raise,shoulders,,dumbbell,isolation,push,shoulder_raise,2,strength,beginner,2,6,3.0,1,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,rotator_cuff_tear|shoulder_impingement,"In a standing position, hold a pair of dumbbells at your side. | Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating. | Return the weights to your side. | On the next repetition, raise the weights laterally, raising them out to your side to about shoulder height. | Return the weights to the starting position and continue alternating to the front and side."
Alternating Floor Press,chest,abdominals|shoulders|triceps,kettlebell,compound,push,horizontal_push,2,strength,beginner,7,8,1.14,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,pec_tear|rotator_cuff_tear|shoulder_impingement,"Lie on the floor with two kettlebells next to your shoulders. | Position one in place on your chest and then the other, gripping the kettlebells on the handle with the palms facing forward. | Extend both arms, so that the kettlebells are being held above your chest. Lower one kettlebell, bringing it to your chest and turn the wrist in the direction of the locked out kettlebell. | Raise the kettlebell and repeat on the opposite side."
Alternating Hang Clean,hamstrings,biceps|calves|forearms|glutes|lower back|traps,kettlebell,compound,pull,hip_hinge,3,strength,advanced,10,9,0.9,9,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead. | Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so. | Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat."
Alternating Kettlebell Press,shoulders,triceps,kettlebell,compound,push,vertical_push,3,strength,intermediate,7,7,1.0,6,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so. | Press one directly overhead by extending through the elbow, turning it so the palm faces forward while holding the other kettlebell stationary . | Lower the pressed kettlebell to the starting position and immediately press with your other arm."
Alternating Kettlebell Row,middle back,biceps|lats,kettlebell,compound,pull,horizontal_pull,3,strength,intermediate,7,8,1.14,5,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,bicep_tendinitis|lower_back_injury,"Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles. | Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage. | Lower the kettlebell in the working arm and repeat with your other arm."
Alternating Renegade Row,middle back,abdominals|biceps|chest|lats|triceps,kettlebell,compound,pull,horizontal_pull,5,strength,advanced,7,8,1.14,5,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,bicep_tendinitis|lower_back_injury,"Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support. | Push one kettlebell into the floor and row the other kettlebell, retracting the shoulder blade of the working side as you flex the elbow, pulling it to your side. | Then lower the kettlebell to the floor and begin the kettlebell in the opposite hand. Repeat for several reps."
Alternating Rope Wave,biceps|forearms|shoulders|traps,abdominals|chest|triceps,body only,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Stand with your feet shoulder-width apart, knees slightly bent, in front of a heavy rope. | Grip the ends of the rope with both hands. Your palms should be facing inward. | Tighten your core to stabilize your spine. | Begin to alternately raise and lower each arm rapidly. The motion should create alternating waves in each of the two ropes. | Keep the waves going consistently for the desired number of repetitions."
Alternating Side Lunge Pull – Plate,glutes|quadriceps|adductors,abdominals|calves|lower back|abductors,body only,compound,,lunge,3,strength,intermediate,7,7,1.0,5,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,ankle_injury|hip_impingement|knee_injury,"Stand with a plate between your feet. This is your starting position. | Take a step to the side with one leg, bending that knee to lower your body into a side lunge. | Keep the other leg straight and your torso upright. | As you push through the heel of your bent leg to return to the standing position, use your non-planted leg to pull the weight plate inwards. | Continue pulling the plate inwards until you are fully standing with the plate close to your feet in the starting position. | Repeat the movement on the other side to complete a single repetition. | Continue for your desired number of repetitions, alternating legs with each lunge."
Alternating Single-Arm Dead Clean to Push Press – Kettlebell,glutes|quadriceps|shoulders,calves|hamstrings|lower back|triceps,kettlebell,compound,,vertical_push,3,strength,intermediate,8,7,0.88,6,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Stand with feet shoulder-width apart, a kettlebell in front of you. | Hinge at the hips and slightly bend your knees to grip the kettlebell with one hand, palm facing you. | Engage your core and drive through your heels to lift the kettlebell off the ground. | As you reach the top of the movement, quickly pull the kettlebell upwards, allowing it to rotate around your hand to the rack position at shoulder level. | From the rack position, bend your knees slightly in a quarter squat. | Explosively extend your legs and press the kettlebell overhead, rotating your wrist so your palm faces forward. | Reverse the press motion to return the kettlebell to the rack position. | Rotate the kettlebell back down to the starting position with control. | Switch hands and repeat the sequence on the opposite side."
Alternating Tall Kneeling Arnold Press – Hand Weights,shoulders,abdominals|biceps|triceps,dumbbell,compound,,vertical_push,3,strength,intermediate,7,8,1.14,6,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Choose a pair of appropriate weights: dumbbells, kettlebells, etc. | Kneel on the ground with both knees, keeping your back straight and core engaged. | Hold the dumbbells in front of you at shoulder height, elbows bent, and palms facing your face. This is your starting position. | Rotate one arm outward, so your palm faces forward, and press the dumbbell overhead. | Bring the dumbbell back to the starting position while simultaneously rotating the other arm and pressing the dumbbell overhead. | Continue alternating arms, pressing one dumbbell overhead at a time. | Repeat for the desired number of repetitions."
Alternating Z Press – Double Kettlebell,shoulders,abdominals|lower back|shoulders|triceps,kettlebell,compound,,vertical_push,3,strength,intermediate,7,7,1.0,6,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Select two kettlebells of appropriate weight. | Sit on the floor with legs extended in front of you. | Clean the kettlebells to the front rack position. | Engage your core and ensure your spine is neutral. | Press one kettlebell overhead while keeping the other in the front rack position. | Lower the overhead kettlebell back to the front rack position. | Simultaneously press the other kettlebell overhead. | Continue to alternate pressing each kettlebell, creating a 'seesaw' motion. | Repeat for the desired number of repetitions."
Anti-Gravity Press,shoulders,middle back|traps|triceps,barbell,compound,push,vertical_push,2,strength,beginner,8,8,1.0,7,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Place a bar on the ground behind the head of an incline bench. | Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position. | To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement. | Return to the starting position and repeat to complete the set."
Archer Push Up – Rings,chest|triceps,abdominals|shoulders|traps,body only,compound,,horizontal_push,3,strength,intermediate,6,8,1.33,2,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,pec_tear|rotator_cuff_tear|shoulder_impingement,"Adjust the rings to be about shin height. | Grip each ring with your palms facing towards each other and arms extended. | Position yourself in a plank position with feet together, body in a straight line from head to heels. | Engage your core and keep your glutes and legs tight. This is your starting position. | Shift your body weight to one side. Bend your elbow to lower your chest on that side as if doing a push-up. While lowering, extend the other arm out to the side as if you're holding a drawn bow and arrow. | Lower yourself until your chest is in line with the lowered hand, keeping the extended arm slightly bent. | Push back up to the starting position by pressing with the bent arm and performing a chest fly with the extended arm. | Alternate sides and repeat for desired repetitions, ensuring equal reps for both arms."
Arnold Dumbbell Press,shoulders,triceps,dumbbell,compound,push,vertical_push,3,strength,intermediate,7,8,1.14,6,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl. | Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward. | Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement. | After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement. | Repeat for the recommended amount of repetitions."
Arnold Press,shoulders,,dumbbell,compound,,vertical_push,3,strength,intermediate,7,8,1.14,6,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Hold a dumbbell in each hand and sit or stand with your feet shoulder-width apart. | Start with your arms bent so that your palms face your body and the dumbbells are at shoulder height. | As you press the dumbbells overhead, rotate your palms to face forward. | Continue to press the dumbbells overhead until your arms are fully extended. | Lower the dumbbells back down to the starting position, rotating your palms back to face your body as you do so. | Repeat."
Around The Worlds,chest,shoulders,dumbbell,compound,push,horizontal_push,3,strength,intermediate,7,9,1.29,2,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,pec_tear|rotator_cuff_tear|shoulder_impingement,"Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position. | Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement. | Reverse the movement to return the weight to the starting position as you exhale."
