name,targetMuscles,bodyParts,equipments,secondaryMuscles,instructions,movement_pattern,difficulty_level,exercise_type,recommended_rep_min,recommended_rep_max,rest_seconds,unilateral,metabolic_load_score
barbell decline close grip to skull press,triceps,upper arms,barbell,chest|shoulders,"Step:1 Lie on a decline bench with your head lower than your feet and hold a barbell with a close grip. Step:2 Lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary. Step:3 Pause for a moment, then extend your arms to press the barbell back up to the starting position. Step:4 Repeat for the desired number of repetitions.",vertical_push,advanced,compound,7,11,108,False,4
push-up inside leg kick,glutes,upper legs,body weight,quadriceps|hamstrings|calves|core,"Step:1 Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together. Step:2 Lower your body towards the ground by bending your elbows, keeping your back straight and your core engaged. Step:3 As you push back up, lift one leg off the ground and kick it out to the side, keeping it straight. Step:4 Lower your leg back down and repeat the push-up, then switch to the other leg. Step:5 Continue alternating leg kicks with each push-up repetition.",general,intermediate,compound,6,11,97,False,4
cable incline fly (on stability ball),pectorals,chest,cable,deltoids|triceps,"Step:1 Set up a stability ball at an incline angle. Step:2 Attach the cable handles to the high pulleys of a cable machine. Step:3 Sit on the stability ball facing away from the machine, with your feet firmly planted on the ground. Step:4 Grasp the cable handles with an overhand grip, palms facing forward. Step:5 Lean forward slightly, keeping your back straight and core engaged. Step:6 With a controlled motion, bring your arms out to the sides, keeping a slight bend in your elbows. Step:7 Continue the motion until your arms are parallel to the ground. Step:8 Pause for a moment, then slowly return to the starting position. Step:9 Repeat for the desired number of repetitions.",general,intermediate,isolation,10,15,65,False,5
kettlebell double alternating hang clean,biceps,upper arms,kettlebell,forearms|shoulders,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell in each hand with an overhand grip. Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up. Step:3 Allow the kettlebells to hang straight down in front of your body. Step:4 In one fluid motion, explosively extend your hips and knees while shrugging your shoulders. Step:5 As the kettlebells rise, pull them up towards your shoulders, keeping your elbows high and out to the sides. Step:6 Catch the kettlebells at shoulder height, with your palms facing inward and your elbows pointing forward. Step:7 Lower the kettlebells back down to the starting position and repeat for the desired number of repetitions.",general,intermediate,compound,8,11,102,False,3
dumbbell contralateral forward lunge,glutes,upper legs,dumbbell,quadriceps|hamstrings|calves,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand. Step:2 Take a step forward with your right foot, keeping your back straight and core engaged. Step:3 Lower your body by bending both knees until your right thigh is parallel to the ground. Step:4 Push through your right heel to return to the starting position. Step:5 Repeat with your left leg. Step:6 Alternate legs for the desired number of repetitions.",lunge,intermediate,compound,8,10,112,True,5
barbell press sit-up,abs,waist,barbell,shoulders|chest,"Step:1 Lie flat on your back on a mat with your knees bent and feet flat on the ground. Step:2 Hold the barbell with an overhand grip, resting it on your chest. Step:3 Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Step:5 Repeat for the desired number of repetitions.",vertical_push,advanced,compound,7,12,103,False,4
cable reverse one arm curl,biceps,upper arms,cable,forearms,"Step:1 Stand facing a cable machine with your feet shoulder-width apart. Step:2 Grasp the cable handle with an underhand grip, palm facing down. Step:3 Keep your elbow close to your side and slowly curl your forearm up towards your shoulder. Step:4 Pause for a moment at the top, then slowly lower your forearm back down to the starting position. Step:5 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,10,13,59,False,7
dumbbell finger curls,forearms,lower arms,dumbbell,wrist flexors|wrist extensors,"Step:1 Sit on a bench or chair with your feet flat on the ground and your back straight. Step:2 Hold a dumbbell in one hand with an underhand grip, resting your forearm on your thigh, palm facing up. Step:3 Allow the dumbbell to roll down to your fingertips, then curl it back up by flexing your fingers. Step:4 Repeat for the desired number of repetitions, then switch to the other hand.",isolation,intermediate,isolation,12,13,62,False,6
band stiff leg deadlift,glutes,upper legs,band,hamstrings|lower back,"Step:1 Stand with your feet shoulder-width apart and place the band around your ankles. Step:2 Hold the band with both hands in front of your thighs, palms facing your body. Step:3 Keeping your back straight and your core engaged, hinge at the hips and slowly lower your upper body towards the ground. Step:4 As you lower, push your hips back and allow your knees to bend slightly. Step:5 Lower the band towards the ground, feeling a stretch in your hamstrings. Step:6 Pause for a moment at the bottom, then engage your glutes and hamstrings to lift your upper body back up to the starting position. Step:7 Repeat for the desired number of repetitions.",hinge,intermediate,compound,8,10,97,False,7
kettlebell goblet squat,glutes,upper legs,kettlebell,quadriceps|hamstrings|calves,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell close to your chest with both hands. Step:2 Keeping your chest up and core engaged, lower your body down into a squat position by bending at the knees and hips. Step:3 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Step:4 Pause for a moment at the bottom, then push through your heels to return to the starting position. Step:5 Repeat for the desired number of repetitions.",squat,intermediate,compound,6,11,116,False,6
lever chest press,pectorals,chest,leverage machine,triceps|shoulders,"Step:1 Adjust the seat height and position yourself on the machine with your back flat against the pad. Step:2 Grasp the handles with an overhand grip and position your elbows at a 90-degree angle. Step:3 Push the handles forward until your arms are fully extended, exhaling during the movement. Step:4 Pause briefly at the end of the movement, then slowly return to the starting position, inhaling as you do so. Step:5 Repeat for the desired number of repetitions.",vertical_push,beginner,compound,8,10,92,False,3
dumbbell incline biceps curl,biceps,upper arms,dumbbell,forearms,"Step:1 Sit on an incline bench with a dumbbell in each hand, palms facing forward, and arms fully extended. Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Step:3 Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Step:4 Hold the contracted position for a brief pause as you squeeze your biceps. Step:5 Inhale and slowly begin to lower the dumbbells back to the starting position. Step:6 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,10,12,55,False,5
one arm against wall,lats,back,body weight,shoulders|triceps,"Step:1 Stand facing a wall with your feet shoulder-width apart. Step:2 Extend one arm straight out in front of you and place your palm against the wall. Step:3 Engage your core and lean your body forward, keeping your arm straight and your back flat. Step:4 Slowly push against the wall with your palm, activating your lat muscles. Step:5 Hold the position for a few seconds, then release and repeat with the other arm.",general,intermediate,compound,6,12,104,False,5
