Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Greek Yogurt Low-Carb (Large portion),Dairy,100,17,5.5,1.8,1,2.4,172,140,Breakfast,350,"low-carb,gluten-free",Fall,Raw,Large
Whole Wheat Toast with Cheese (Extra Large portion),Grain,132,7,22.6,1.7,6.5,8.3,112,0,Breakfast,400,gluten-free,Summer,Boiled,Extra Large
Protein Shake Low-Carb (Small portion),Supplement,90,16.9,1.9,0.6,0.5,0.4,17,0,Breakfast,250,"low-carb,gluten-free",Summer,Raw,Small
Turkey Sandwich Extra Protein (Large portion),Meal/Processed,441,30.1,41,14.9,9.2,9.2,900,70,Lunch,350,"high-protein,gluten-free",Summer,Steamed,Large
Veggie Burger Spicy (Standard portion),Protein/Vegetarian,123,11.3,9.8,3.9,2,2.2,181,0,Lunch,300,"low-carb,vegetarian,vegan",Winter,Raw,Standard
Apple Mexican Style (Extra Large portion),Fruit,160,0.8,43.6,0.4,5.5,21.7,53,0,Snack,150,gluten-free,All Year,Boiled,Extra Large
Apple Italian Style (Extra Large portion),Fruit,156,0.9,37.4,0.5,8,9.9,66,0,Snack,250,gluten-free,Spring,Grilled,Extra Large
Salmon Spicy (Extra Large portion),Protein/Fish,337,36.5,0,21.2,0,0,223,71,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Roasted,Extra Large
Avocado Toast Mediterranean Style (Standard portion),Meal/Vegetarian,235,6.7,27.3,15.1,3.3,12,515,0,Breakfast,400,"vegetarian,gluten-free",Fall,Boiled,Standard
Spaghetti Bolognese Asian Style (Standard portion),Meal/Pasta,485,18.2,51.2,18.8,13,22,484,0,Dinner,300,gluten-free,Spring,Baked,Standard
Tuna Salad with Avocado (Standard portion),Meal/Fish,199,20.5,1.9,12.3,0.4,0.9,213,139,Lunch,250,"high-protein,low-carb,gluten-free",Spring,Boiled,Standard
Quinoa Bowl Extra Protein (Extra Large portion),Meal/Grain,622,26.1,92.4,17.5,23.9,37.9,302,0,Lunch,250,"high-protein,gluten-free",All Year,Grilled,Extra Large
Tuna Salad Mexican Style (Large portion),Meal/Fish,225,24,2.7,16.8,0.6,0.8,564,37,Lunch,400,"high-protein,low-carb,gluten-free",All Year,Boiled,Large
Oatmeal (Small portion),Grain,52,2.1,9.3,1,2.6,2,108,0,Breakfast,250,"low-carb,gluten-free",Spring,Steamed,Small
Scrambled Eggs with Vegetables (Large portion),Protein/Dairy,120,7.2,1.2,9.8,0.2,0.5,29,124,Breakfast,350,"low-carb,gluten-free",Fall,Grilled,Large
Grilled Chicken Salad with Vegetables (Large portion),Meal/Protein,482,35.5,11.8,25.2,2.3,3.1,204,89,Lunch,400,"high-protein,gluten-free",All Year,Roasted,Large
Vegetable Curry Italian Style (Large portion),Meal/Vegetable,441,12.1,50.9,17.9,6,10.7,684,0,Dinner,350,gluten-free,Winter,Roasted,Large
Stir Fry Tofu with Avocado (Large portion),Meal/Vegetarian,508,22.6,41,29.4,4.4,13.4,357,0,Dinner,400,"high-protein,vegetarian,vegan",Summer,Steamed,Large
Turkey Sandwich with Cheese (Small portion),Meal/Processed,230,16.9,23,9.2,4.5,5.9,533,36,Lunch,350,gluten-free,All Year,Baked,Small
Vegetable Curry Asian Style (Extra Large portion),Meal/Vegetable,559,14.9,67.2,24.7,15.7,22,249,0,Dinner,300,gluten-free,Spring,Pan-fried,Extra Large
Chicken Breast High-Fiber (Standard portion),Protein/Meat,193,32.4,0,4.3,0,0,68,31,Dinner,300,"high-protein,low-carb,gluten-free",Fall,Baked,Standard
Quinoa Bowl Extra Protein (Small portion),Meal/Grain,267,11,41.7,7.7,12,12.9,454,0,Lunch,350,gluten-free,Summer,Steamed,Small
Veggie Burger (Small portion),Protein/Vegetarian,80,7.6,7.1,2.8,1.7,1.6,17,0,Lunch,500,"low-carb,vegetarian,vegan",Spring,Baked,Small
Veggie Burger Mexican Style (Standard portion),Protein/Vegetarian,113,11.3,10.8,4.2,3.1,5.2,202,0,Lunch,250,"vegetarian,vegan,gluten-free",Spring,Steamed,Standard
Apple with Vegetables (Small portion),Fruit,68,0.4,18.2,0.2,3,6,99,0,Snack,200,gluten-free,Summer,Boiled,Small
Lentil Soup Asian Style (Large portion),Meal/Legume,301,19.2,41.7,4.1,9.8,8.7,424,0,Lunch,400,gluten-free,Spring,Pan-fried,Large
Protein Bar Mediterranean Style (Large portion),Supplement/Processed,284,25.1,29.5,9.3,4.9,13.6,403,0,Snack,150,"high-protein,gluten-free",Fall,Steamed,Large
Apple with Avocado (Small portion),Fruit,69,0.4,18.1,0.2,1.9,7.2,266,0,Snack,250,gluten-free,Summer,Raw,Small
Vegetable Curry with Cheese (Standard portion),Meal/Vegetable,316,10.5,42.8,15.6,7.1,15.5,294,0,Dinner,350,gluten-free,Winter,Baked,Standard
Whole Wheat Toast (Large portion),Grain,102,5,17.6,1.3,1.8,4.2,237,0,Breakfast,400,gluten-free,All Year,Pan-fried,Large
Beef Steak Mexican Style (Standard portion),Protein/Meat,294,42.6,0,9.2,0,0,216,93,Dinner,250,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Standard
Grilled Chicken Salad Light (Standard portion),Meal/Protein,371,28.4,10.1,20.8,2.6,3,223,88,Lunch,300,"high-protein,gluten-free",Summer,Grilled,Standard
Hummus High-Fiber (Large portion),Legume,90,2.6,5.7,6.4,1.4,1.9,221,0,Snack,150,"low-carb,gluten-free",Spring,Grilled,Large
Banana with Avocado (Small portion),Fruit,75,1,17.5,0.3,4.2,3.7,81,0,Breakfast,350,gluten-free,Winter,Steamed,Small
Hummus Asian Style (Standard portion),Legume,72,2.1,4.4,5.2,0.7,1.3,259,0,Snack,250,"low-carb,gluten-free",Summer,Steamed,Standard
Grilled Chicken Salad Asian Style (Extra Large portion),Meal/Protein,591,44.5,15.4,31.4,1.7,7,418,149,Lunch,500,"high-protein,gluten-free",All Year,Grilled,Extra Large
Protein Bar with Vegetables (Extra Large portion),Supplement/Processed,320,32.6,32.4,10.9,6.9,12.5,412,0,Snack,200,"high-protein,gluten-free",Spring,Grilled,Extra Large
Cottage Cheese High-Fiber (Extra Large portion),Dairy,140,18,8.1,4.8,0.8,3.5,87,132,Snack,150,"low-carb,gluten-free",Winter,Raw,Extra Large
Vegetable Curry with Vegetables (Large portion),Meal/Vegetable,386,12.1,52.8,18.8,11.5,10.9,220,0,Dinner,400,gluten-free,All Year,Steamed,Large
Oatmeal Low-Carb (Small portion),Grain,55,2.1,9.6,1.1,2.2,3.4,80,0,Breakfast,400,"low-carb,gluten-free",Winter,Raw,Small
Tuna Salad with Cheese (Small portion),Meal/Fish,133,12.2,1.5,8,0.2,0.7,641,148,Lunch,250,"low-carb,gluten-free",Spring,Baked,Small
Salmon Extra Protein (Standard portion),Protein/Fish,211,26.9,0,13.2,0,0,135,189,Dinner,300,"high-protein,low-carb,gluten-free",Fall,Boiled,Standard
Spaghetti Bolognese with Avocado (Extra Large portion),Meal/Pasta,699,30.6,93.4,31,26.7,31.9,611,0,Dinner,300,"high-protein,gluten-free",Fall,Steamed,Extra Large
Turkey Sandwich Spicy (Standard portion),Meal/Processed,313,24.2,35.7,11.1,10.1,10.2,558,27,Lunch,250,"high-protein,gluten-free",All Year,Raw,Standard
Protein Bar Extra Protein (Small portion),Supplement/Processed,154,15.2,16.3,4.8,4.7,4.5,526,0,Snack,200,gluten-free,Spring,Baked,Small
